metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5
fedavg;16;0.9975;1.0000;0.9992;0.9983;0.9975
fedavg;999;0.9975;0.9992;0.9983;0.9983;0.9983
fedavg;1935;0.9983;0.9983;0.9992;0.9983;0.9975
fedprox;16;0.9958;1.0000;0.9992;0.9958;0.9992
fedprox;999;0.9983;1.0000;1.0000;0.9992;0.9983
fedprox;1935;0.9975;0.9983;0.9992;0.9983;0.9975
fedewa;16;0.1695;0.1695;0.1695;0.1695;0.1695
fedewa;999;0.1695;0.1695;0.1695;0.1695;0.1695
fedewa;1935;0.9992;0.9992;0.9992;0.9983;0.9975
fedag;16;0.9958;0.9992;0.9983;0.9992;0.9983
fedag;999;0.9975;1.0000;0.9992;0.9992;0.9983
fedag;1935;0.9983;0.9992;0.9992;0.9992;0.9983
mh_random_search;16;0.9975;0.9992;0.9992;0.9992;0.9992
mh_random_search;999;0.9983;1.0000;1.0000;0.9992;0.9992
mh_random_search;1935;0.9373;0.9432;0.9390;0.9466;0.9398
mh_de;16;0.9907;0.9881;0.9898;0.9915;0.9890
mh_de;999;0.9975;1.0000;0.9992;0.9992;0.9983
mh_de;1935;0.9975;0.9983;0.9992;1.0000;0.9983
mh_ga;16;0.9975;1.0000;0.9992;0.9983;0.9983
mh_ga;999;0.9983;1.0000;0.9992;0.9983;0.9983
mh_ga;1935;0.9975;1.0000;0.9992;0.9983;0.9975
mh_pso;16;0.9975;1.0000;1.0000;0.9992;0.9983
mh_pso;999;0.9983;1.0000;0.9992;1.0000;0.9983
mh_pso;1935;0.9975;1.0000;0.9992;0.9992;0.9983
mh_cro;16;0.8661;0.8661;0.8686;0.8839;0.8712
mh_cro;999;0.9992;1.0000;1.0000;0.9992;0.9983
mh_cro;1935;1.0000;1.0000;1.0000;0.9983;0.9983
