metodo;lr;local_epochs;mu;lr_beta;lambda_reg;gamma_reg;best_val_acc;best_round;total_rounds;tiempo_seg
fedavg;0.05;3;;;;;0.992975;30;30;640.9
fedavg;0.01;3;;;;;0.967027;30;30;638.5
fedavg;0.05;1;;;;;0.976482;30;30;240.1
fedavg;0.05;10;;;;;0.996814;29;30;2046.4
fedavg;0.1;1;;;;;0.974221;18;23;186.9
fedavg;0.05;5;;;;;0.996023;29;30;1060.0
fedavg;0.01;5;;;;;0.973433;29;30;1055.5
fedavg;0.01;10;;;;;0.980159;28;30;2081.8
fedavg;0.1;5;;;;;0.996128;30;30;871.8
fedavg;0.1;3;;;;;0.99421;29;30;503.2
fedprox;0.1;5;0.001;;;;0.997193;30;30;795.7
fedprox;0.1;5;0.01;;;;0.996902;29;30;791.4
fedprox;0.05;5;0.001;;;;0.996806;25;30;787.6
fedprox;0.1;1;0.01;;;;0.981245;29;30;181.6
fedprox;0.05;3;0.1;;;;0.994888;30;30;486.9
fedprox;0.05;3;0.001;;;;0.995073;30;30;483.9
fedprox;0.05;10;0.001;;;;0.997327;20;25;1292.9
fedprox;0.01;10;0.001;;;;0.988947;26;30;1542.3
fedprox;0.1;5;0.1;;;;0.992098;15;20;519.0
fedprox;0.1;10;0.1;;;;0.987656;9;14;707.1
fedewa;0.01;5;;;;;0.992717;30;30;5533.9
fedewa;0.01;3;;;;;0.985186;30;30;3408.7
fedewa;0.01;10;;;;;0.997381;27;30;12229.6
fedewa;0.05;5;;;;;0.993601;15;20;4684.5
fedewa;0.001;10;;;;;0.888366;3;8;3596.1
fedewa;0.05;10;;;;;0.971502;3;8;3577.4
fedewa;0.01;1;;;;;0.882505;3;8;364.7
fedewa;0.1;5;;;;;0.260781;1;6;1560.1
fedewa;0.05;3;;;;;0.971579;7;12;2147.2
fedewa;0.001;3;;;;;0.922258;12;17;2621.9
fedag;0.01;10;;0.001;;;0.987496;28;30;1661.3
fedag;0.1;10;;0.01;;;0.996868;19;24;1328.7
fedag;0.01;3;;0.01;;;0.970349;27;30;519.2
fedag;0.05;5;;0.01;;;0.984146;15;20;560.4
fedag;0.01;10;;0.1;;;0.992083;28;30;1658.5
fedag;0.05;5;;0.1;;;0.996404;30;30;843.0
fedag;0.01;5;;0.1;;;0.976822;30;30;845.6
fedag;0.01;3;;0.1;;;0.971377;30;30;519.6
fedag;0.01;5;;0.01;;;0.966662;16;21;588.5
fedag;0.001;10;;0.001;;;0.960128;29;30;1657.3
mh_cro;0.1;10;;;0.01;0.05;0.968898;4;9;765.4
mh_cro;0.1;10;;;0.01;0.005;0.997306;26;30;2836.5
mh_cro;0.1;5;;;0.001;0.005;0.978244;7;12;1011.7
mh_cro;0.05;3;;;0.0001;0.05;0.995575;29;30;2049.0
mh_cro;0.1;10;;;1e-05;0.005;0.997085;19;24;2831.4
mh_cro;0.05;10;;;1e-05;0.01;0.997351;30;30;3537.1
mh_cro;0.1;3;;;1e-05;0.005;0.995601;29;30;2116.2
mh_cro;0.1;10;;;0.001;0.01;0.997141;21;26;2606.3
mh_cro;0.1;10;;;1e-05;0.05;0.997067;22;27;3166.1
mh_cro;0.1;5;;;0.001;0.01;0.996528;28;30;2703.5
