metodo;seed;Hospital_1;Hospital_2;Hospital_3;Hospital_4;Hospital_5;Hospital_6;Hospital_7;Hospital_8;Hospital_9;Hospital_10;Hospital_11;Hospital_12;Hospital_13;Hospital_14;Hospital_15;Hospital_16;Hospital_17;Hospital_18;Hospital_19;Hospital_20;Hospital_21;Hospital_22;Hospital_23;Hospital_24;Hospital_25;Hospital_26;Hospital_27;Hospital_28;Hospital_29;Hospital_30;Hospital_31;Hospital_32;Hospital_33;Hospital_34;Hospital_35;Hospital_36;Hospital_37;Hospital_38;Hospital_39;Hospital_40;Hospital_41;Hospital_42;Hospital_43;Hospital_44;Hospital_45;Hospital_46;Hospital_47;Hospital_48;Hospital_49;Hospital_50
fedavg;16;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedavg;999;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9835;0.9610;0.9937;1.0000;0.9950;1.0000;1.0000;1.0000;1.0000;0.9926;1.0000;1.0000;0.9792;1.0000;1.0000;1.0000;1.0000;0.9649;1.0000;1.0000;0.9625;0.9818;1.0000;1.0000;0.9962;0.9807;0.9929;1.0000;0.9552;1.0000;0.9908;1.0000
fedavg;1935;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9855;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9896;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;0.9962;0.9952;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedprox;16;1.0000;0.9946;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;1.0000;1.0000
fedprox;999;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9933;0.9835;0.9610;0.9937;1.0000;0.9950;0.9943;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9896;0.9917;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9750;1.0000;1.0000;1.0000;0.9924;0.9952;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedprox;1935;1.0000;0.9946;1.0000;1.0000;1.0000;0.9956;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9896;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedewa;16;0.8053;0.9511;0.8054;0.3654;0.4444;0.9781;0.7923;0.6818;0.3333;0.4571;0.9640;0.8929;0.9000;0.4579;0.9209;0.2337;0.9348;0.5400;0.9256;0.3766;0.9620;0.5833;0.7921;0.8276;0.7126;0.7305;0.9333;0.8593;0.8333;0.5882;0.8854;0.5000;0.8462;0.8844;0.5227;0.8246;0.4926;0.4750;0.8875;0.6545;0.5238;0.1928;0.6882;0.6763;0.9429;0.2695;0.9254;0.4043;0.9633;0.4174
fedewa;999;1.0000;0.9946;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9896;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedewa;1935;0.8673;0.9783;0.9128;0.6154;0.8632;0.9956;0.9235;0.9545;0.6957;0.8143;0.9784;0.8929;0.9833;0.8037;0.9721;0.7174;1.0000;0.8200;0.9917;0.8052;0.9873;0.7917;0.9134;0.9368;0.8908;0.9574;1.0000;0.9481;0.9091;0.8824;0.9896;0.8333;1.0000;0.9769;0.7841;0.9474;0.7833;0.9250;0.9625;0.8545;0.7687;0.8916;0.9011;0.8599;0.9786;0.9007;0.9403;0.8085;0.9908;0.8394
fedag;16;1.0000;0.9946;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
fedag;999;0.0265;0.1304;0.0067;0.0192;0.1026;0.0000;0.2295;0.0455;0.0290;0.0571;0.0144;0.1786;0.0167;0.0093;0.8279;0.0163;0.4130;0.0067;0.0083;0.0130;0.0127;0.3750;0.4827;0.6552;0.0747;0.0000;0.0000;0.0222;0.6212;0.0588;0.0104;0.0000;0.3718;0.0058;0.2386;0.0526;0.2611;0.0500;0.0187;0.4364;0.4422;0.0000;0.1065;0.1449;0.0571;0.0071;0.0000;0.0638;0.7156;0.0183
fedag;1935;0.0265;0.1304;0.0067;0.0192;0.1026;0.0000;0.2295;0.0455;0.0290;0.0571;0.0144;0.1786;0.0167;0.0093;0.8279;0.0163;0.4130;0.0067;0.0083;0.0130;0.0127;0.3750;0.4827;0.6552;0.0747;0.0000;0.0000;0.0222;0.6212;0.0588;0.0104;0.0000;0.3718;0.0058;0.2386;0.0526;0.2611;0.0500;0.0187;0.4364;0.4422;0.0000;0.1065;0.1449;0.0571;0.0071;0.0000;0.0638;0.7156;0.0183
mh_random_search;16;1.0000;0.9837;0.9866;1.0000;1.0000;0.9956;1.0000;1.0000;0.9710;0.9714;0.9928;1.0000;1.0000;0.9907;1.0000;0.9946;1.0000;0.9867;1.0000;1.0000;0.9937;0.9583;1.0000;0.9943;0.9885;0.9929;1.0000;0.9926;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;0.9818;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;1.0000;1.0000
mh_random_search;999;1.0000;0.9891;0.9933;1.0000;1.0000;1.0000;1.0000;1.0000;0.9855;0.9714;1.0000;1.0000;1.0000;0.9907;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9926;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9875;1.0000;0.9932;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;1.0000;1.0000
mh_random_search;1935;0.9912;0.9946;0.9732;0.8077;0.9658;0.9956;0.9836;1.0000;0.9130;0.9000;0.9928;0.9643;1.0000;0.9346;1.0000;0.9348;1.0000;0.9667;1.0000;0.9870;1.0000;1.0000;0.9777;0.9713;0.9828;0.9929;1.0000;0.9926;0.9242;1.0000;1.0000;0.9417;1.0000;0.9942;0.9318;0.9825;0.9458;0.9750;0.9750;0.9273;0.9252;1.0000;0.9772;0.9420;1.0000;1.0000;0.9701;1.0000;1.0000;0.9633
mh_de;16;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9740;0.9937;1.0000;0.9975;0.9943;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9896;1.0000;1.0000;1.0000;1.0000;0.9649;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;0.9924;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_de;999;1.0000;0.9891;1.0000;0.9808;1.0000;1.0000;0.9945;1.0000;0.9565;0.9714;0.9928;0.9643;1.0000;0.9813;1.0000;0.9946;1.0000;0.9867;0.9917;1.0000;0.9937;1.0000;0.9926;0.9885;0.9943;0.9929;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9812;1.0000;0.9932;1.0000;0.9924;0.9952;1.0000;1.0000;0.9851;1.0000;1.0000;1.0000
mh_de;1935;1.0000;0.9946;1.0000;1.0000;1.0000;0.9956;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;1.0000;0.9903;1.0000;1.0000;0.9701;1.0000;1.0000;1.0000
mh_ga;16;1.0000;0.9946;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9851;1.0000;1.0000;1.0000
mh_ga;999;1.0000;0.9783;1.0000;1.0000;1.0000;0.9956;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9870;0.9937;1.0000;1.0000;1.0000;0.9943;1.0000;1.0000;0.9926;1.0000;1.0000;0.9896;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_ga;1935;1.0000;0.9783;0.9933;1.0000;1.0000;0.9956;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9610;0.9937;1.0000;0.9975;0.9943;0.9943;1.0000;1.0000;0.9926;1.0000;1.0000;0.9792;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;0.9924;0.9952;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_pso;16;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9933;1.0000;0.9870;0.9937;1.0000;0.9950;0.9943;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;0.9924;1.0000;1.0000;0.9929;0.9701;1.0000;0.9908;1.0000
mh_pso;999;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;0.9962;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_pso;1935;1.0000;0.9946;1.0000;1.0000;1.0000;0.9956;1.0000;1.0000;1.0000;0.9857;0.9856;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9938;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;1.0000;1.0000
mh_cro;16;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;0.9943;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9875;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_cro;999;1.0000;0.9946;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9857;0.9928;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9870;0.9937;1.0000;0.9975;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9812;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9701;1.0000;0.9908;1.0000
mh_cro;1935;1.0000;0.9891;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9855;0.9857;0.9928;0.9643;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9917;0.9610;0.9937;1.0000;0.9950;0.9943;1.0000;0.9929;1.0000;0.9926;1.0000;1.0000;0.9688;1.0000;1.0000;1.0000;1.0000;0.9825;1.0000;1.0000;0.9625;0.9818;1.0000;1.0000;0.9962;0.9855;0.9857;1.0000;0.9552;1.0000;0.9908;1.0000
